Received at: 2019-04-03 16:22:14.202053 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.218070 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.218181 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.234041 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.234114 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.250024 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.265971 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.266032 ['60', 'C1', 'BE', '80', '9C', '80', '84', '80', '80']
Received at: 2019-04-03 16:22:14.281988 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.297994 ['60', 'C1', 'BE', '80', '8C', '80', '84', '80', '90']
Received at: 2019-04-03 16:22:14.298047 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.313970 ['60', 'C1', 'BE', '80', '8C', '80', '84', '80', '90']
Received at: 2019-04-03 16:22:14.314023 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.329968 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.345918 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.345969 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.361940 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.377922 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.377974 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.393932 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.393985 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.409898 ['60', 'C1', 'BE', '80', '93', '80', '84', '80', '89']
Received at: 2019-04-03 16:22:14.425872 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.425923 ['60', 'C1', 'BE', '80', '8B', '80', '84', '80', '91']
Received at: 2019-04-03 16:22:14.441895 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.457879 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.457932 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.473882 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.473947 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5', '1A', 'A5', 'A7', '99']
Received at: 2019-04-03 16:22:14.489855 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.505829 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.505879 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.521851 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.537834 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.537885 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.553835 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.553886 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.569835 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
Received at: 2019-04-03 16:22:14.585776 ['61', 'B0', '89', 'C0', '80', '80', '80', '80', 'A5']
Received at: 2019-04-03 16:22:14.585851 ['60', 'C1', 'BE', '80', '94', '80', '84', '80', '88']
